demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
plate [ˈpleɪt] (n.) [anki:play:q:0]	тарелка, блюдо [anki:play:a:0]
message [ˈmesɪdʒ] (n.) [anki:play:q:0]	сообщение, письмо [anki:play:a:0]
possibility [ˌpɑsəˈbɪlətiː] (n.) [anki:play:q:0]	вероятность, возможность [anki:play:a:0]
along [əˈlɔŋ] (adv.) [anki:play:q:0]	рядом, параллельно [anki:play:a:0]
bone [ˈboʊn] (n.) [anki:play:q:0]	кость, скелет [anki:play:a:0]
narrow [ˈneroʊ] (adj.) [anki:play:q:0]	узкий [anki:play:a:0]
pretty [ˈprɪtiː] (adv.) [anki:play:q:0]	довольно, достаточно, в значительной степени [anki:play:a:0]
everyone [everyone] (pron.) [anki:play:q:0]	каждый, все [anki:play:a:0]
well [ˈwel] (adv.) [anki:play:q:0]	хорошо [anki:play:a:0]
benefit [ˈbenəˌfɪt] (n.) [anki:play:q:0]	выгода, польза, прибыль [anki:play:a:0]
kindness [ˈkaɪnnəs] (n.) [anki:play:q:0]	доброта, доброе дело [anki:play:a:0]
embarrass [ɪmˈberəs] (v.) [anki:play:q:0]	затруднять, мешать [anki:play:a:0]
tell [ˈtel] (v.) [anki:play:q:0]	говорить, сообщать [anki:play:a:0]
second [ˈsekənd] (adj.) [anki:play:q:0]	второй [anki:play:a:0]
upset [əpˈset] (adj.) [anki:play:q:0]	расстроенный, огорченный [anki:play:a:0]
several [ˈsevrəl] (adj.) [anki:play:q:0]	некоторые, несколько [anki:play:a:0]
how [ˈhæʊ] (adv.) [anki:play:q:0]	как? каким образом? [anki:play:a:0]
motorcycle [ˈmoʊtərˌsaɪkəl] (n.) [anki:play:q:0]	мотоцикл [anki:play:a:0]
her [(h)ər] (adj.) [anki:play:q:0]	её, принадлежащий ей [anki:play:a:0]
truck [ˈtrək] (n.) [anki:play:q:0]	грузовик [anki:play:a:0]
kid [ˈkɪd] (v.) [anki:play:q:0]	дурачится, разыгрывать [anki:play:a:0]
fashionable [ˈfæʃnəbəl] (adj.) [anki:play:q:0]	модный, стильный [anki:play:a:0]
rob [ˈrɑb] (v.) [anki:play:q:0]	грабить [anki:play:a:0]
inch [ˈɪntʃ] (n.) [anki:play:q:0]	дюйм (=2,54 см) [anki:play:a:0]
scratch [ˈskrætʃ] (v.) [anki:play:q:0]	царапать, скрести [anki:play:a:0]
noisily [ˈnɔɪzəliː] (adv.) [anki:play:q:0]	шумно, громко [anki:play:a:0]
male [ˈmɑliː] (adj.) [anki:play:q:0]	мужской [anki:play:a:0]
disturb [dɪˈstərb] (v.) [anki:play:q:0]	волновать, тревожить, беспокоить, нарушать [anki:play:a:0]
salad [ˈsæləd] (n.) [anki:play:q:0]	салат, винегрет [anki:play:a:0]
health [ˈhelθ] (n.) [anki:play:q:0]	здоровье [anki:play:a:0]
senior [ˈsiːnjər] (adj.) [anki:play:q:0]	старший, пожилой, вышестоящий [anki:play:a:0]
grandchild [grandchild] (n.) [anki:play:q:0]	внук, внучка [anki:play:a:0]
past [ˈpæst] (n.) [anki:play:q:0]	прошлое, прошедшее [anki:play:a:0]
western [ˈwestərn] (adj.) [anki:play:q:0]	западный [anki:play:a:0]
suit [ˈsuːt] (n.) [anki:play:q:0]	костюм [anki:play:a:0]
dot [ˈdɑt] (n.) [anki:play:q:0]	точка, пятнышко [anki:play:a:0]
white [ˈwaɪt] (n.) [anki:play:q:0]	белый цвет или краска [anki:play:a:0]
total [ˈtoʊtəl] (n.) [anki:play:q:0]	целое, сумма, итог [anki:play:a:0]
height [ˈhaɪt] (n.) [anki:play:q:0]	высота, верх [anki:play:a:0]
chemistry [ˈkeməstriː] (n.) [anki:play:q:0]	химия [anki:play:a:0]
quiet [ˈkwaɪət] (adj.) [anki:play:q:0]	тихий, бесшумный [anki:play:a:0]
play [ˈpleɪ] (n.) [anki:play:q:0]	игра, забава [anki:play:a:0]
these [these] (adj.) [anki:play:q:0]	этот, эта, это [anki:play:a:0]
drug [ˈdrəg] (n.) [anki:play:q:0]	лекарство, наркотик [anki:play:a:0]
market [ˈmɑrkət] (n.) [anki:play:q:0]	базар, рынок [anki:play:a:0]
oven [ˈəvən] (n.) [anki:play:q:0]	печь, духовка [anki:play:a:0]
officially [officially] (adv.) [anki:play:q:0]	официально [anki:play:a:0]
cotton [ˈkɑtən] (n.) [anki:play:q:0]	хлопок [anki:play:a:0]
involve [ɪnˈvɑlv] (v.) [anki:play:q:0]	привлекать, вовлекать [anki:play:a:0]
sail [ˈseɪl] (v.) [anki:play:q:0]	плавать, управлять (парусами) [anki:play:a:0]
research [rɪˈsərtʃ] (n.) [anki:play:q:0]	исследование, изыскание (научное) [anki:play:a:0]
key [ˈkiː] (n.) [anki:play:q:0]	ключ [anki:play:a:0]
room [ˈruːm] (n.) [anki:play:q:0]	комната, помещение [anki:play:a:0]
twice [ˈtwaɪs] (adv.) [anki:play:q:0]	дважды, во второй раз [anki:play:a:0]
flavor [ˈfleɪvər] (n.) [anki:play:q:0]	вкус, аромат [anki:play:a:0]
hear [ˈhɪr] (v.) [anki:play:q:0]	слышать [anki:play:a:0]
river [ˈrɪvər] (n.) [anki:play:q:0]	река [anki:play:a:0]
stay [ˈsteɪ] (v.) [anki:play:q:0]	останавливаться, жить, гостить [anki:play:a:0]
beat [ˈbiːt] (v.) [anki:play:q:0]	побеждать, бить, колотить [anki:play:a:0]
old [ˈoʊld] (adj.) [anki:play:q:0]	старый [anki:play:a:0]
rope [ˈroʊp] (n.) [anki:play:q:0]	канат, трос, веревка [anki:play:a:0]
throw [ˈθroʊ] (v.) [anki:play:q:0]	бросать, кидать [anki:play:a:0]
road [ˈroʊd] (n.) [anki:play:q:0]	дорога, путь, шоссе [anki:play:a:0]
dress [ˈdres] (n.) [anki:play:q:0]	платье (женское) [anki:play:a:0]
wonder [ˈwəndər] (v.) [anki:play:q:0]	удивляться, интересоваться, размышлять [anki:play:a:0]
insect [ˈɪnˌsekt] (n.) [anki:play:q:0]	насекомое [anki:play:a:0]
direction [dəˈrekʃən] (n.) [anki:play:q:0]	направление, управление [anki:play:a:0]
nurse [ˈnərs] (n.) [anki:play:q:0]	сиделка [anki:play:a:0]
grow [ˈgroʊ] (v.) [anki:play:q:0]	расти, вырастать [anki:play:a:0]
camp [ˈkæmp] (n.) [anki:play:q:0]	лагерь, бивак [anki:play:a:0]
community [kəˈmjuːnətiː] (n.) [anki:play:q:0]	община, население [anki:play:a:0]
lend [ˈlend] (v.) [anki:play:q:0]	одалживать, давать в займы [anki:play:a:0]
human [ˈhjuːmən] (n.) [anki:play:q:0]	смертный, человек [anki:play:a:0]
start [ˈstɑrt] (n.) [anki:play:q:0]	начало, старт [anki:play:a:0]
island [ˈaɪlənd] (n.) [anki:play:q:0]	остров [anki:play:a:0]
land [ˈlænd] (n.) [anki:play:q:0]	земля, суша [anki:play:a:0]
wave [ˈweɪv] (v.) [anki:play:q:0]	развеваться, качаться [anki:play:a:0]
match [ˈmætʃ] (v.) [anki:play:q:0]	подходить, подбирать (пару) [anki:play:a:0]
exact [ɪgˈzækt] (adj.) [anki:play:q:0]	точный, строгий [anki:play:a:0]
pilot [ˈpaɪlət] (n.) [anki:play:q:0]	летчик, лоцман, пилот [anki:play:a:0]
pile [ˈpaɪl] (n.) [anki:play:q:0]	куча, груда [anki:play:a:0]
sir [ˈsər] (n.) [anki:play:q:0]	сэр, сударь [anki:play:a:0]
tea [ˈtiː] (n.) [anki:play:q:0]	чай [anki:play:a:0]
criticism [ˈkrɪtəˌsɪzəm] (n.) [anki:play:q:0]	критика [anki:play:a:0]
let [ˈlet] (v.) [anki:play:q:0]	позволять, допускать, давать возможность [anki:play:a:0]
unlikely [unlikely] (adj.) [anki:play:q:0]	маловероятно, неправдоподобно [anki:play:a:0]
pressure [ˈpreʃər] (n.) [anki:play:q:0]	давление [anki:play:a:0]
edge [ˈedʒ] (n.) [anki:play:q:0]	кромка, край, граница [anki:play:a:0]
contact [ˈkɑnˌtækt] (v.) [anki:play:q:0]	соприкасаться, касаться, контактировать [anki:play:a:0]
alone [əˈloʊn] (adj.) [anki:play:q:0]	единственный, одинокий [anki:play:a:0]
slide [ˈslaɪd] (v.) [anki:play:q:0]	скользить, кататься [anki:play:a:0]
so [ˈsoʊ] (adv.) [anki:play:q:0]	так, таким, настолько [anki:play:a:0]
onto [ˈɔntuː] (prep.) [anki:play:q:0]	на, в [anki:play:a:0]
hang [ˈhæŋ] (v.) [anki:play:q:0]	вешать, развешивать, висеть [anki:play:a:0]
actual [ˈæktʃ(əw)əl] (adj.) [anki:play:q:0]	реальный, фактический, актуальный [anki:play:a:0]
belt [ˈbelt] (n.) [anki:play:q:0]	ремень, пояс [anki:play:a:0]
under [ˈəndər] (adv.) [anki:play:q:0]	вниз, ниже [anki:play:a:0]
kick [ˈkɪk] (n.) [anki:play:q:0]	пинок, удар ногой [anki:play:a:0]
pointed [ˈpɔɪntɪd] (adj.) [anki:play:q:0]	острый, колкий [anki:play:a:0]
neat [ˈniːt] (adj.) [anki:play:q:0]	четкий, ясный, точный [anki:play:a:0]
stone [ˈstoʊn] (n.) [anki:play:q:0]	камень [anki:play:a:0]
exchange [ɪksˈtʃeɪndʒ] (v.) [anki:play:q:0]	обменивать [anki:play:a:0]
touch [ˈtətʃ] (v.) [anki:play:q:0]	касаться, трогать, осязать [anki:play:a:0]
give [ˈgɪv] (v.) [anki:play:q:0]	дать, подать, передать [anki:play:a:0]
manage [ˈmænɪdʒ] (v.) [anki:play:q:0]	руководить, управлять, заведовать [anki:play:a:0]
measure [ˈmeʒər] (n.) [anki:play:q:0]	мера, мерка [anki:play:a:0]
twist [ˈtwɪst] (v.) [anki:play:q:0]	обвивать, скручивать [anki:play:a:0]
during [ˈdʊrɪŋ] (prep.) [anki:play:q:0]	в течении, во время [anki:play:a:0]
comfortable [ˈkəm(p)(f)təbəl] (adj.) [anki:play:q:0]	уютный, удобный [anki:play:a:0]
vote [ˈvoʊt] (n.) [anki:play:q:0]	голос (на выборах), право голоса [anki:play:a:0]
interesting [ˈɪntrəstɪŋ] (adj.) [anki:play:q:0]	интересный, занятный [anki:play:a:0]
liter [ˈliːtər] (n.) [anki:play:q:0]	литр (1000 см3) [anki:play:a:0]
simple [ˈsɪmpəl] (adj.) [anki:play:q:0]	простой, легкий [anki:play:a:0]
guilty [ˈgɪltiː] (adj.) [anki:play:q:0]	виновный [anki:play:a:0]
especially [ɪsˈpeʃliː] (adv.) [anki:play:q:0]	особенно, в особенности [anki:play:a:0]
politics [ˈpɑləˌtɪks] (n.) [anki:play:q:0]	политика, система [anki:play:a:0]
effort [ˈefərt] (n.) [anki:play:q:0]	усилие, попытка [anki:play:a:0]
nowhere [ˈnoʊˌ(h)wer] (adv.) [anki:play:q:0]	нигде, никуда [anki:play:a:0]
another [əˈnəðər] (adj.) [anki:play:q:0]	еще один, другой [anki:play:a:0]
suggest [səgˈdʒest] (v.) [anki:play:q:0]	предлагать, советовать [anki:play:a:0]
scared [ˈskerd] (adj.) [anki:play:q:0]	испуганный [anki:play:a:0]
kill [ˈkɪl] (v.) [anki:play:q:0]	убивать, сильно смешить [anki:play:a:0]
shut [ˈʃət] (v.) [anki:play:q:0]	закрывать, запирать [anki:play:a:0]
charge [ˈtʃɑrdʒ] (v.) [anki:play:q:0]	заряжать, поручать, нагружать [anki:play:a:0]
structure [ˈstrəktʃər] (n.) [anki:play:q:0]	строение, конструкция, структура [anki:play:a:0]
consider [kənˈsɪdər] (v.) [anki:play:q:0]	рассматривать, обсуждать [anki:play:a:0]
dream [ˈdriːm] (v.) [anki:play:q:0]	видеть сон [anki:play:a:0]
bake [ˈbeɪk] (v.) [anki:play:q:0]	печь, выпекать [anki:play:a:0]
rain [ˈreɪn] (v.) [anki:play:q:0]	идти, литься (о дожде) [anki:play:a:0]
husband [ˈhəzbənd] (n.) [anki:play:q:0]	муж, супруг [anki:play:a:0]
never [ˈnevər] (adv.) [anki:play:q:0]	никогда, не может быть [anki:play:a:0]
hit [ˈhɪt] (v.) [anki:play:q:0]	ударять, поражать [anki:play:a:0]
move [ˈmuːv] (v.) [anki:play:q:0]	двигать, перемещать [anki:play:a:0]
tonight [təˈnaɪt] (adv.) [anki:play:q:0]	сегодня вечером, сегодня ночью [anki:play:a:0]
obvious [ˈɑbviːəs] (adj.) [anki:play:q:0]	очевидный, заметный [anki:play:a:0]
state [ˈsteɪt] (v.) [anki:play:q:0]	заставлять, утверждать, констатировать, точно определять [anki:play:a:0]
holiday [ˈhɑləˌdeɪ] (n.) [anki:play:q:0]	праздник, каникулы [anki:play:a:0]
smell [ˈsmel] (v.) [anki:play:q:0]	чуять, обонять [anki:play:a:0]
payment [ˈpeɪmənt] (n.) [anki:play:q:0]	платеж [anki:play:a:0]
groceries [ˈgroʊsriːz] (n.) [anki:play:q:0]	прод. товары, бакалея [anki:play:a:0]
tape [ˈteɪp] (n.) [anki:play:q:0]	тесьма, лента [anki:play:a:0]
can [kən] (n.) [anki:play:q:0]	банка, жестянка [anki:play:a:0]
race [ˈreɪs] (v.) [anki:play:q:0]	мчаться, нестись [anki:play:a:0]
poisonous [ˈpɔɪznəs] (adj.) [anki:play:q:0]	ядовитый [anki:play:a:0]
clear [ˈklɪr] (adj.) [anki:play:q:0]	светлый, ясный [anki:play:a:0]
hot [ˈhɑt] (adj.) [anki:play:q:0]	горячий, жаркий [anki:play:a:0]
dear [ˈdɪr] (adj.) [anki:play:q:0]	дорогой, милый [anki:play:a:0]
leader [ˈliːdər] (n.) [anki:play:q:0]	руководитель, глава, лидер [anki:play:a:0]
opposite [ˈɑpəzət] (adj.) [anki:play:q:0]	противоположный, обратный [anki:play:a:0]
cheese [ˈtʃiːz] (n.) [anki:play:q:0]	сыр [anki:play:a:0]
respect [rɪˈspekt] (v.) [anki:play:q:0]	уважать, почитать [anki:play:a:0]
material [məˈtɪriːəl] (n.) [anki:play:q:0]	материал, вещество [anki:play:a:0]
lady [ˈleɪdiː] (n.) [anki:play:q:0]	леди, дама [anki:play:a:0]
cost [ˈkɔst] (v.) [anki:play:q:0]	стоить, обходиться [anki:play:a:0]
hospital [ˈhɑspɪtəl] (n.) [anki:play:q:0]	больница, клиника [anki:play:a:0]
dig [ˈdɪg] (v.) [anki:play:q:0]	копать, рыть [anki:play:a:0]
hard [ˈhɑrd] (adv.) [anki:play:q:0]	упорно [anki:play:a:0]
business [ˈbɪznəs] (n.) [anki:play:q:0]	дело, работа, бизнес [anki:play:a:0]
fat [ˈfæt] (adj.) [anki:play:q:0]	толстый, жирный [anki:play:a:0]
needle [ˈniːdəl] (n.) [anki:play:q:0]	игла [anki:play:a:0]
fur [ˈfər] (n.) [anki:play:q:0]	мех, одежда из меха [anki:play:a:0]
cheap [ˈtʃiːp] (adj.) [anki:play:q:0]	дешёвый [anki:play:a:0]
body [ˈbɑdiː] (n.) [anki:play:q:0]	тело, ствол [anki:play:a:0]
idea [aɪˈdiːə] (n.) [anki:play:q:0]	идея, мысль [anki:play:a:0]
request [rɪˈkwest] (n.) [anki:play:q:0]	просьба, требование [anki:play:a:0]
middle [ˈmɪdəl] (n.) [anki:play:q:0]	середина, центр, промежуточный момент [anki:play:a:0]
read [ˈriːd] (v.) [anki:play:q:0]	читать, прочитать [anki:play:a:0]
weekend [ˈwiːkˌend] (n.) [anki:play:q:0]	выходные дни [anki:play:a:0]
back [ˈbæk] (n.) [anki:play:q:0]	спина [anki:play:a:0]
image [ˈɪmɪdʒ] (n.) [anki:play:q:0]	образ, изображение [anki:play:a:0]
iron [ˈaɪrn] (n.) [anki:play:q:0]	железо, утюг [anki:play:a:0]
moon [ˈmuːn] (n.) [anki:play:q:0]	луна [anki:play:a:0]
careless [careless] (adj.) [anki:play:q:0]	небрежный, беззаботный [anki:play:a:0]
sure [ˈʃʊr] (adj.) [anki:play:q:0]	уверенный, надежный [anki:play:a:0]
talk [ˈtɔk] (n.) [anki:play:q:0]	разговор, беседа, болтовня, треп [anki:play:a:0]
high [ˈhaɪ] (adv.) [anki:play:q:0]	высоко [anki:play:a:0]
model [ˈmɑdəl] (n.) [anki:play:q:0]	модель, макет [anki:play:a:0]
drive [ˈdraɪv] (n.) [anki:play:q:0]	езда, катание, прогулка, драйв [anki:play:a:0]
base [ˈbeɪs] (n.) [anki:play:q:0]	основа, базис, база [anki:play:a:0]
hide [ˈhaɪd] (v.) [anki:play:q:0]	прятать, скрывать [anki:play:a:0]
urgent [ˈərdʒənt] (adj.) [anki:play:q:0]	срочный, неотложный [anki:play:a:0]
wish [ˈwɪʃ] (n.) [anki:play:q:0]	желание, охота [anki:play:a:0]
around [əˈræʊnd] (prep.) [anki:play:q:0]	около, неподалеку [anki:play:a:0]
reasonable [ˈriːznəbəl] (adj.) [anki:play:q:0]	разумный, справедливый, рациональный [anki:play:a:0]
least [ˈliːst] (adv.) [anki:play:q:0]	менее всего [anki:play:a:0]
interrupt [ˌɪntəˈrəpt] (v.) [anki:play:q:0]	обрывать, прерывать [anki:play:a:0]
bag [ˈbæg] (n.) [anki:play:q:0]	мешок, сумка [anki:play:a:0]
suddenly [suddenly] (adv.) [anki:play:q:0]	вдруг, внезапно [anki:play:a:0]
employment [ɪmˈplɔɪmənt] (n.) [anki:play:q:0]	служба, занятие, ремесло [anki:play:a:0]
survive [sərˈvaɪv] (v.) [anki:play:q:0]	пережить, выживать [anki:play:a:0]
flame [ˈfleɪm] (n.) [anki:play:q:0]	огонь, пламя [anki:play:a:0]
tired [ˈtaɪrd] (adj.) [anki:play:q:0]	усталый, утомленный [anki:play:a:0]
kind [ˈkaɪnd] (adj.) [anki:play:q:0]	добрый, любезный [anki:play:a:0]
measure [ˈmeʒər] (v.) [anki:play:q:0]	измерять, мерить [anki:play:a:0]
enjoyable [enjoyable] (adj.) [anki:play:q:0]	приятный, доставляющий удовольствие [anki:play:a:0]
family [ˈfæmliː] (n.) [anki:play:q:0]	семья, род [anki:play:a:0]
enthusiastic [ɪnˌθuːziːˈæstɪk] (adj.) [anki:play:q:0]	восторженный, полный энтузиазма [anki:play:a:0]
prize [ˈpraɪz] (n.) [anki:play:q:0]	награда, премия, приз [anki:play:a:0]
